run,cint7all,cint7ps,cmul7all,cmul7ps,cmsl7all,cmsl7ps,cint7all&0msl,cmsl7all&0mul
290222,138603,138486,1119,1118,50296,50278,2518,1119
290223,57552,57491,484,484,21027,21014,1038,484
290254,958655,957667,7845,7838,348635,348454,17625,7845
290293,63676,61807,44363,43971,238072,236301,1155,5252
290297,47081,46226,33013,32785,179041,177705,848,3917
290300,372845,367677,261273,259659,1412146,1403585,6479,31648
290323,180971,172576,432808,425319,1166564,1151215,3022,26121
290324,77023,73983,187172,184237,502756,496563,1315,11145
290327,14951,14386,37273,36745,99630,98499,245,2261
290350,96282,91025,229359,224934,612075,603238,1559,13791
290374,90926,85860,217415,213019,583662,575302,1531,13061
290375,36591,34707,87077,85417,234552,231386,574,5245
290401,34716,33148,84114,82597,226911,223561,581,5104
290404,214946,206351,518069,509688,1400580,1381802,3571,30749
290411,50995,49103,163387,161026,443398,437538,881,9871
290423,58975,57274,188644,186213,514428,508674,1036,11510
290425,155357,151075,498452,492636,1358176,1343347,2747,29595
290427,54831,53420,175876,173907,479530,474308,958,10704
290428,39937,38869,130574,129094,355173,351377,705,7726
290456,31738,30617,101428,99970,275153,271883,568,6295
290458,18074,17446,58328,57538,156860,154907,313,3354
290459,291184,282346,940211,928309,2543637,2514740,4923,56274
290467,80081,77928,259381,256351,704243,696626,1339,15604
290469,181164,176489,584407,577891,1593124,1576336,3096,35181
290499,55328,52660,177472,174031,479357,472100,997,10563
290501,219352,210722,706888,695850,1909039,1884068,3680,42734
290538,37278,35593,120281,118122,322549,317939,638,7298
290539,91924,88066,293232,288286,790760,779869,1605,17512
290540,80744,77587,257752,253800,696784,687688,1371,15582
290544,29511,28534,95644,94315,258045,254900,500,5814
290549,132804,128766,427804,422282,1161251,1148011,2291,25497
290550,59217,57485,189665,187338,515565,509857,1022,11322
290553,104871,101976,336790,332868,917489,907540,1802,20379
290590,159240,151161,512221,502276,1377650,1356522,2756,30818
290612,42853,40407,137250,134347,367715,361662,740,8117
290613,26524,25266,85480,83751,230067,226424,450,5135
290614,33868,32226,107344,105230,288677,284281,596,6562
290615,24524,23445,78219,76798,211181,208107,433,4743
290627,36840,35301,117155,115262,315912,311597,638,7111
290632,38835,37319,123945,121972,336601,332136,702,7423
290645,339036,327779,1082412,1067075,2943722,2907984,5826,65034
290658,12792,12416,41378,40874,111884,110686,207,2482
290660,149256,145067,482043,476234,1303322,1288691,2574,28943
290665,107356,104570,346299,342362,941327,931088,1872,20558
290687,168268,161169,538639,529546,1461434,1441856,2944,32323
290692,213739,206353,686695,677054,1862704,1840211,3599,41321
290696,88758,86062,283526,280033,771290,762505,1527,16837
290699,73452,71381,235635,232846,642836,635917,1227,14086
290721,38020,35993,120325,117892,326590,321467,646,7294
290742,228282,221795,445373,439536,1208698,1193682,4011,26744
290764,63880,61249,202125,198759,548142,540580,1091,12105
290766,64332,61941,205282,202103,558499,551236,1130,12262
290769,400545,388100,1285510,1268674,3494808,3454448,7039,76951
290774,24784,24090,79655,78709,215611,213340,484,4795
290776,77227,75215,248365,245566,676744,669484,1367,14731
290787,70117,68308,225384,222973,615135,608751,1224,13581
290790,21856,21276,69193,68449,189658,187770,391,4271
290848,172562,166693,552394,544258,1501751,1483054,2986,32945
290853,90149,87369,289412,285469,787460,777890,1553,17245
290860,263938,256473,855309,844303,2318262,2291227,4583,51230
290862,30760,29955,99040,97856,268075,265018,498,5959
290892,25385,24625,82631,81528,222818,220209,440,4862
290894,48340,47019,158618,156479,427187,422317,788,9517
290895,19087,18572,62493,61700,167772,165847,306,3681
290932,85391,81485,276363,271270,740760,729945,1488,16509
290935,53467,51213,175878,172881,471985,465697,898,10491
290943,536335,519956,1748812,1726608,4704547,4651692,9255,104843
290944,44937,43776,147951,146358,398468,394318,768,8794
290948,14287,13910,46631,46146,125987,124661,230,2904
290975,141913,137301,465352,458803,1246549,1231361,2433,27759
290976,55834,54142,183071,180622,492603,486694,922,11174
290979,378621,368021,1230578,1215515,3327399,3290298,6508,73615
290980,21271,20694,68737,67956,186912,184848,366,4100
291002,116661,111903,378599,372227,1012821,999081,1994,22772
291003,132791,128264,432698,426571,1165603,1151685,2195,26339
291004,176721,171589,574342,567147,1548096,1531094,3098,34519
291005,61822,60142,200522,198274,545997,540213,1082,11959
291006,13665,13280,44689,44203,120284,119044,259,2751
291035,112573,107256,362572,355699,974029,959565,1860,21822
291037,8103,7753,26146,25719,70929,69910,169,1550
291041,238351,230273,762074,751308,2074269,2048986,4131,45406
291065,13539,12873,43846,42928,117726,115903,215,2542
291066,145252,139059,463715,455788,1257041,1239601,2424,27812
291100,14364,13846,46126,45437,124852,123244,242,2722
291110,25532,24734,82561,81473,223635,221021,379,4954
291263,308498,299369,993712,981407,2692149,2662335,5093,59721
291265,39115,38151,126246,124850,341261,337628,591,7538
291282,15341,14979,49733,49203,134692,133303,263,3011
291283,67532,65945,220329,217965,596139,589919,1176,13226
291284,144984,141521,469502,464497,1274601,1261414,2450,28016
291285,26288,25722,84940,84055,230392,227993,446,5173
291286,374455,365952,1211672,1199300,3293569,3260542,6543,72826
291360,189520,181338,610567,600003,1642438,1619143,3263,36500
291361,36668,35296,118664,116891,319095,314991,661,7120
291362,134810,130157,437174,430968,1177880,1163432,2270,26344
291363,53982,52334,174683,172437,473617,468111,934,10439
291373,25080,24338,89818,88587,223294,220763,448,5449
291375,292486,284530,1035751,1023262,2586805,2558687,5110,61990
291397,676044,651140,2191569,2158372,5894989,5819881,11668,131028
291399,65231,63459,211016,208442,570685,564481,1131,12578
291400,68905,67022,224580,222084,604790,598405,1158,13318
291402,47010,45792,153067,151389,413251,408886,820,9325
291416,62870,59767,202698,198793,542657,534204,1093,12084
291417,40671,38962,132952,130549,354433,349430,668,7919
291419,61743,59195,201934,198446,542287,534866,1037,12207
291420,482427,466895,1575207,1553826,4241540,4191540,8388,94257
291446,38613,36743,126181,123853,335514,330433,665,7559
291447,103349,98853,336334,330492,897036,884429,1751,20026
291451,66856,64147,215792,212394,578377,570628,1203,13069
291453,262803,253994,855122,842951,2304461,2276458,4491,51447
291456,277143,269268,901629,890692,2439242,2412673,4774,54465
291457,84773,82627,276787,273694,746052,738067,1494,16749
291481,309686,297362,1010080,993961,2712949,2677110,5335,60369
291482,164694,159603,535739,528665,1445368,1428670,2745,32226
291484,324584,315940,1054970,1042684,2856902,2826491,5636,63310
291485,32476,31645,104828,103722,284195,281283,581,6330
291590,130014,124468,415679,408405,1124916,1108838,2172,24805
291614,61852,58660,198521,194474,534293,525894,1048,11727
291615,57821,55168,186695,183325,504649,497445,1026,11058
291618,65878,63247,210695,207243,571435,563823,1091,12501
291622,60349,58167,195126,192238,528804,522068,983,11592
291624,110940,107455,358265,353502,974480,962966,1894,21485
291626,50066,48661,163028,161053,442799,437748,797,9834
291657,84999,80984,273510,267676,735723,723224,1416,16228
291661,319552,307409,1029194,1010594,2786868,2744514,5357,61992
291665,347386,336667,1120192,1102435,3042295,2998456,5900,66772
291690,38523,36700,123844,121334,333332,328194,694,7535
291692,63587,60820,204881,201314,553451,545569,1069,12425
291694,73860,70829,240810,236892,650678,641816,1214,14198
291697,325810,314931,1048326,1033466,2846920,2811738,5522,62333
291698,72576,70415,236379,233447,642917,635681,1213,14012
291706,143730,139963,465680,460386,1265499,1251987,2506,28042
291729,83134,79167,267685,262406,718120,707023,1378,16193
291755,123103,117324,397680,390054,1074574,1058454,2020,23794
291756,324221,312377,1048307,1032219,2844883,2808331,5465,62733
291760,2783,2701,9061,8929,24189,23931,46,512
291769,145135,141346,468452,463043,1277473,1263876,2502,28349
291795,20308,19353,65661,64308,176154,173287,378,4078
291796,34484,32835,113708,111575,302904,298430,625,6800
291803,45803,43863,149339,146795,401231,395642,816,9006
291942,53470,50903,173419,170086,462681,455550,883,10330
291943,143217,137533,466758,458777,1252978,1235648,2429,27693
291944,99973,96450,326012,321144,880097,868784,1680,19590
291945,66525,64365,216575,213558,586141,579010,1123,12945
291948,168997,164170,551957,545120,1490970,1474429,2879,32943
291953,224016,218150,729727,721662,1977945,1957958,3863,43719
291976,135763,129316,439352,431093,1175967,1158598,2282,26377
291982,103820,100071,337714,332593,911919,900036,1742,20014
292012,107172,102309,347433,340843,931197,917220,1803,20908
292040,165150,158057,540695,531032,1442384,1421408,2753,32529
292060,119955,114236,390330,382842,1042265,1026393,1962,23524
292061,80983,77660,265127,260576,712123,702253,1421,15926
292062,242925,234467,794599,782954,2136437,2109535,4239,47731
292075,143709,139679,468276,462379,1266212,1251938,2462,28439
292077,60854,59130,197207,194843,533539,527599,991,11861
292080,90908,88499,297272,293813,801967,793260,1539,17758
292081,40046,39066,129514,128079,350516,346751,706,7672
292106,82998,78992,269977,264979,720849,710111,1425,16217
292107,342215,329812,1114590,1097602,3001750,2963479,6013,66998
292108,72196,69875,233300,230043,629574,621607,1293,13879
292109,60179,58359,196129,193662,531445,525431,1002,11815
292114,21735,21113,70551,69658,191038,188896,337,4291
292115,195399,190353,634608,627211,1721068,1702363,3387,37809
292140,13284,12621,43134,42226,116135,114323,224,2510
292160,255834,245233,835711,821355,2240219,2208635,4420,50243
292161,42058,40621,137893,135862,370414,365820,722,8362
292162,16253,15719,53616,52836,141686,139893,257,3204
292163,86329,83549,282593,278758,763002,753810,1576,16803
292164,16212,15738,53202,52511,142839,141182,261,3330
292166,66108,64231,217338,214425,585667,578779,1148,13088
292167,37229,36104,121034,119635,328082,324449,654,7279
292168,122139,118984,399372,394713,1080611,1068676,2120,24141
292192,15190,14439,50064,49060,132487,130399,264,2974
292240,182005,174214,600857,590312,1593326,1570758,3192,36158
292241,27632,26577,91067,89676,243431,240239,501,5490
292242,54769,52852,180771,178236,483185,477066,926,10892
292265,55822,53055,182338,178736,484038,476585,1014,11041
292269,14024,13385,45971,45167,122464,120725,244,2765
292270,73360,70357,239943,235877,639816,631028,1257,14342
292273,198098,190983,652701,642999,1745584,1723095,3401,39216
292274,82265,79686,271233,267487,724297,715627,1353,16376
292298,365316,350755,1198474,1178630,3197327,3153740,6323,71757
292397,123340,117698,401941,394545,1069452,1053852,2097,24307
