run,cint7l0b,cmul7l0b,duration(s),interacting_bunches
290222,2821944,1135,4613,1
290223,1215525,507,2126,1
290254,19597017,8005,15931,2
290293,179288589,67797,3708,376
290297,136426265,51979,2803,376
290300,1035886922,396880,21421,376
290323,1478181736,549003,8563,2094
290324,617082593,231670,3618,2094
290327,123684729,46501,739,2094
290350,790437527,293671,4598,2215
290374,758428660,280141,4405,2215
290375,348321566,128159,2044,2215
290401,290085734,107865,1288,2215
290404,1883803030,705095,8316,2215
290411,585964249,218707,2554,2215
290418,238415189,89517,1050,2215
290420,213247829,79857,981,2215
290421,488819398,182452,2190,2215
290423,797091768,297777,3559,2215
290425,2226936311,832457,9900,2215
290427,697493483,260625,3088,2215
290428,528576960,198706,2333,2215
290456,360637428,135152,1586,2215
290458,296699279,110761,1317,2215
290459,3500896178,1316583,15777,2215
290467,910655784,342673,4054,2215
290469,2204677419,828101,9969,2215
290499,759146014,281088,3478,2215
290501,3645310738,1363736,16630,2215
290538,458483437,171280,2122,2215
290539,1053032889,393236,4780,2215
290540,931628620,347669,4227,2215
290544,335662520,125832,1521,2215
290549,1612946286,603433,7339,2215
290550,671237470,251096,3094,2215
290553,1190101237,447025,5400,2215
290590,1923224818,716937,8416,2215
290612,447975394,166766,1979,2215
290613,281606836,104816,1256,2215
290614,348486241,129796,1558,2215
290615,254269942,94848,1094,2215
290627,422842878,157389,1890,2215
290632,440472656,163789,1972,2215
290645,4160633606,1549290,18593,2215
290658,148108837,55663,664,2215
290660,1720997650,649798,7703,2215
290665,1252408300,470798,5708,2215
290687,2173029346,807957,9702,2215
290692,2892831007,1081539,13023,2215
290696,1147076243,427543,5123,2215
290699,909797333,339216,4181,2215
290721,478439122,176192,2121,2215
290742,1779013968,669578,13208,878
290764,714921476,265589,3220,2215
290766,990114058,368414,4414,2215
290769,4684150499,1749120,21111,2215
290774,268524124,100691,1243,2215
290776,914013157,341966,4078,2215
290787,885819001,331904,3846,2215
290790,239935847,89156,1091,2215
290848,2003850375,749010,8884,2215
290853,1020939903,382153,4536,2215
290860,3474852441,1310367,15667,2215
290862,344307341,130035,1582,2215
290892,293475428,111548,1356,2215
290894,575554543,218858,2597,2215
290895,269211092,103096,1201,2215
290932,1008666469,379162,4521,2215
290935,815552315,307674,3606,2215
290943,6240808772,2373105,28074,2215
290944,514893171,196780,2320,2215
290948,167111933,63362,752,2215
290975,1866420583,712563,8472,2213
290976,869140103,330738,3897,2213
290979,5040529685,1909307,22733,2213
290980,325623512,122874,1482,2213
291002,2799101992,1057375,12407,2215
291003,1793604077,678627,8036,2215
291004,2638207695,998498,12028,2215
291005,852018833,320890,3925,2215
291006,184802022,70042,858,2215
291035,1633247447,607637,7155,2215
291037,173667954,65122,737,2215
291041,2851614452,1064426,12771,2215
291065,418265388,155165,1851,2215
291066,2184497745,813242,9745,2215
291100,408780604,151937,1810,2215
291110,570256249,213817,2530,2215
291263,4016366076,1516148,18343,2215
291265,860649967,324974,3924,2215
291282,338659613,128014,1556,2215
291283,838274325,317784,3754,2215
291284,1750501185,661343,7893,2215
291285,311663419,117889,1441,2215
291286,4607374883,1741392,21022,2215
291360,2339239153,876590,10347,2215
291361,504299577,189721,2230,2215
291362,1771595213,667267,7900,2215
291363,840220809,315707,3712,2215
291373,330029895,135923,1489,2215
291375,3674200310,1517143,16680,2215
291397,8064021417,3044969,35910,2215
291399,1043097058,395216,4598,2215
291400,852863401,324946,3816,2215
291402,594562258,226111,2728,2215
291416,732164854,276192,3247,2215
291417,485278257,183605,2132,2215
291419,741213308,279136,3301,2215
291420,5806103333,2205544,26123,2215
291446,463110430,174770,2063,2215
291447,1280450285,484904,5717,2215
291451,815177701,309486,3603,2215
291453,3070124621,1161875,13680,2215
291456,3378818552,1280755,15307,2215
291457,1006575692,382977,4600,2215
291481,3795809735,1436327,16939,2215
291482,1934638118,733349,8734,2215
291484,3981559261,1508757,18058,2215
291485,373524214,141284,1713,2215
291590,1575766588,585836,6833,2215
291614,768392747,286594,3312,2215
291615,1136252306,424218,4905,2215
291618,1331640849,495603,5821,2215
291622,1331323512,499486,5781,2215
291624,2225682815,836852,9841,2215
291625,394597745,148325,1727,2215
291626,1253763385,471701,5588,2215
291657,1007921135,377544,4469,2215
291661,3941887778,1478059,17447,2215
291665,4027084842,1518153,18211,2215
291690,442118301,164643,1985,2215
291692,803698165,299135,3612,2215
291694,878950309,327719,3919,2215
291697,4085881480,1526048,18069,2215
291698,974216044,365237,4356,2215
291706,1643017548,617944,7377,2215
291729,967773678,361864,4207,2215
291755,1481438656,551710,6474,2215
291756,4117638186,1536843,18046,2215
291760,158001640,58519,694,2215
291769,1731413651,648669,7754,2215
291795,306788684,115279,1306,2215
291796,395647059,149314,1749,2215
291803,535190144,201149,2360,2215
291942,682398096,256677,2976,2215
291943,1915649841,720225,8534,2215
291944,1124349526,422665,4971,2215
291945,765889214,287456,3380,2215
291948,2006879551,757827,9120,2215
291953,2961537673,1120137,13949,2215
291976,1831656132,687093,8146,2215
291982,1370322407,516402,5979,2215
292012,1500720953,563070,6482,2215
292040,1974718608,749311,8806,2215
292060,1399675969,529201,6138,2215
292061,970425080,366542,4211,2215
292062,2939033768,1111057,12999,2215
292075,1762153965,667766,7797,2215
292077,821338266,310601,3607,2215
292080,1276209089,484113,5638,2215
292081,541632703,204794,2395,2215
292106,1043349992,393124,4597,2215
292107,4123158743,1554185,18236,2215
292108,873049693,330119,3847,2215
292109,818353647,308611,3630,2215
292114,315410397,119006,1412,2215
292115,2571649797,971087,11264,2215
292140,159226700,59908,687,2215
292160,3538857428,1336047,15394,2215
292161,554216810,210366,2397,2215
292162,188987351,72149,822,2215
292163,993481218,375914,4392,2215
292164,220806399,83484,990,2215
292166,796105826,302109,3448,2215
292167,433918380,163849,1984,2215
292168,1443203403,547511,6403,2215
292192,178869055,67989,783,2215
292240,2416724718,924523,10520,2215
292241,349591123,133265,1522,2215
292242,706611643,269941,3080,2215
292265,634675846,240213,2730,2215
292269,260454501,98752,1137,2215
292270,855332218,324706,3698,2215
292273,2405815397,915526,10401,2215
292274,999162786,380610,4354,2215
292298,4403977663,1671359,19175,2215
292397,1703934837,642637,7649,2215
